duration,date,subjectcode,a,b,c,d,e,f,g,h,i,j,k,l,m,n,comments
200,4/27/20 21:24,R_3EHawjuNohScHtc,,,,,,,,0,19,20,0,1,0,3,The question of whether or not the others want to catch more fish wasnt exactly stated so slighty confusing.
3770,4/27/20 21:25,R_siYiOafDUAQ1Rqp,0,19,20,19,1,0,3,,,,,,,,No
175,4/27/20 21:25,R_2ygxi6zIA7pZskv,0,19,20,7,0,0,2,,,,,,,,"Sure, I'm curious about what you're testing?  That I'm assuming that about 1/3 of the people will sneak and use the hook if they think they can't be caught?"
211,4/27/20 21:26,R_cRMSDULwcbTnbgd,0,0,20,0,1,0,3,,,,,,,,no
265,4/27/20 21:26,R_3kL2SuNHZkla47c,3,19,20,5,1,1,1,,,,,,,,NOTHING
278,4/27/20 21:27,R_6gIvTUz7UMm0ky5,,,,,,,,0,0,20,0,1,0,3,No
133,4/27/20 21:28,R_1E4pHKO3Q2ospFK,0,19,20,0,0,0,3,,,,,,,,no
209,4/27/20 21:28,R_1QrT6ueQh99TcVV,,,,,,,,0,19,20,0,1,0,3,no
228,4/27/20 21:29,R_VRuUltwHdcC06YN,0,19,20,0,0,0,3,,,,,,,,No.
153,4/27/20 21:32,R_1CD3RsBxeNV3Dfc,0,19,20,0,1,0,3,,,,,,,,no
90,4/27/20 21:33,R_3r07bpybOGbKAVQ,,,,,,,,20,19,20,19,1,1,2,no
469,4/27/20 21:34,R_1PTBPUIpnHTkZXw,,,,,,,,0,19,20,0,1,0,2,"Nope, hope y'all have a nice spring and summer."
155,4/27/20 21:35,R_DTrHYCNQN72hDIR,0,19,20,0,0,0,3,,,,,,,,no
